date,crime_type,state,Primary Category,Secondary Category,Months Difference
2023-12-01,MURDER & NON-NEGL. MANSLAUGHTER,New York,Violent Crimes,MURDER,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-09-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,15
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ARSON,New York,Miscellaneous Crimes,ARSON,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-11-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,13
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ARSON,New York,Miscellaneous Crimes,ARSON,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-11-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,13
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-11-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,13
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,RAPE,New York,Sexual Offenses,RAPE,12
2023-10-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,14
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,BURGLARY,New York,Property Crimes,BURGLARY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-03-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,21
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-11-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,13
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2023-12-01,ROBBERY,New York,Violent Crimes,ROBBERY,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-10-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,14
2023-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,12
2023-12-01,FELONY ASSAULT,New York,Violent Crimes,ASSAULT,12
2022-12-01,ASSAULT 3 & RELATED OFFENSES,New York,Violent Crimes,ASSAULT,24
